scenario,scenario_type,fault_percentage,workload_users,checkout_error,checkout_success,checkout_success_rate,checkout_http_req_duration,iteration_duration_p(95),GRPC_BACKOFF_MULTIPLIER,GRPC_INITIAL_BACKOFF,GRPC_MAX_ATTEMPTS,GRPC_MAX_BACKOFF,normalized_checkout_http_req_duration,normalized_iteration_duration_p(95),checkout_error_rate
retry-checkout-400vu-75f-00009,retry,75,400,1724,1276,0.42533333333333334,2098.8019114999997,33943.244771549995,2.0,1.5,2.0,15.0,0.3005279236146922,0.6507005934923095,0.5746666666666667
retry-checkout-400vu-25f-00010,retry,25,400,43,2957,0.9856666666666667,1713.302207,28113.573466249978,1.0,0.5,3.0,15.0,0.0,0.15640415038334482,0.014333333333333309
retry-checkout-400vu-50f-00010,retry,50,400,371,2629,0.8763333333333333,1799.896859,27891.109755399997,1.0,0.5,3.0,15.0,0.11193588553867646,0.0,0.1236666666666667
retry-checkout-400vu-75f-00010,retry,75,400,1272,1728,0.576,2109.2020365,32801.704404899996,1.0,0.5,3.0,15.0,0.30859246433852716,0.5495511190754575,0.42400000000000004
retry-checkout-400vu-25f-00011,retry,25,400,44,2956,0.9853333333333333,1810.9142205,28708.4017481,1.5,0.5,3.0,15.0,0.14400542613527278,0.22210109080815985,0.014666666666666717
retry-checkout-400vu-50f-00011,retry,50,400,348,2652,0.884,2020.502848,32421.185139549987,1.5,0.5,3.0,15.0,0.3244675247795566,0.7182033659205709,0.11599999999999999
retry-checkout-400vu-75f-00011,retry,75,400,1287,1713,0.571,1994.185763,30715.343326849976,1.5,0.5,3.0,15.0,0.2194057073000802,0.3646830822947309,0.42900000000000005
retry-checkout-400vu-25f-00012,retry,25,400,58,2942,0.9806666666666667,2005.270952,30815.91382454998,2.0,0.5,3.0,15.0,0.43073677136990696,0.4548692687106734,0.019333333333333313
retry-checkout-400vu-50f-00012,retry,50,400,390,2610,0.87,2008.3898205,32891.915311749995,2.0,0.5,3.0,15.0,0.3127978434512547,0.7928334692732224,0.13
retry-checkout-400vu-75f-00012,retry,75,400,1318,1682,0.5606666666666666,1992.3960204999998,30594.8459528,2.0,0.5,3.0,15.0,0.21801789212704825,0.3540060651608261,0.43933333333333335
retry-checkout-400vu-25f-00013,retry,25,400,57,2943,0.981,1886.602859,28500.14572345,1.0,1.0,3.0,15.0,0.2556676514083034,0.19909985824741638,0.019000000000000017
retry-checkout-400vu-50f-00013,retry,50,400,338,2662,0.8873333333333333,2199.7307965,32011.062696899997,1.0,1.0,3.0,15.0,0.49713559179420597,0.6531820817756365,0.11266666666666669
retry-checkout-400vu-75f-00013,retry,75,400,1263,1737,0.579,2198.317656,32563.74756315,1.0,1.0,3.0,15.0,0.3776951474877706,0.5284662672558582,0.42100000000000004
retry-checkout-400vu-25f-00014,retry,25,400,698,2302,0.7673333333333333,2000.9786205,30315.372566499977,1.5,1.0,3.0,15.0,0.4244043640707648,0.39958603787975544,0.2326666666666667
retry-checkout-400vu-50f-00014,retry,50,400,359,2641,0.8803333333333333,2213.243252,31099.1618006,1.5,1.0,3.0,15.0,0.510153480975739,0.5086082639976498,0.1196666666666667
retry-checkout-400vu-75f-00014,retry,75,400,1251,1749,0.583,2307.221707,32409.95824844997,1.5,1.0,3.0,15.0,0.4621423204092585,0.5148393217642274,0.41700000000000004
retry-checkout-400vu-25f-00015,retry,25,400,473,2527,0.8423333333333334,1818.216054,29002.936630399992,2.0,1.0,3.0,15.0,0.15477770310235225,0.2546315558279305,0.15766666666666662
retry-checkout-400vu-50f-00015,retry,50,400,405,2595,0.865,2226.884732,32093.85178415,2.0,1.0,3.0,15.0,0.5232956722608162,0.6663075589658137,0.135
retry-checkout-400vu-75f-00015,retry,75,400,1245,1755,0.585,2297.144979,31492.0027829,2.0,1.0,3.0,15.0,0.45432855054408794,0.43350123194184226,0.41500000000000004
retry-checkout-400vu-25f-00016,retry,25,400,62,2938,0.9793333333333333,2094.485552,31017.554564049977,1.0,1.5,3.0,15.0,0.562353629068349,0.4771398635266188,0.020666666666666722
retry-checkout-400vu-50f-00016,retry,50,400,362,2638,0.8793333333333333,2413.574093,32177.865778149997,1.0,1.5,3.0,15.0,0.7031520583091679,0.679627234282111,0.1206666666666667
retry-checkout-400vu-75f-00016,retry,75,400,1293,1707,0.569,2513.693469,33063.588042799995,1.0,1.5,3.0,15.0,0.6222461588699442,0.5727560736314621,0.43100000000000005
retry-checkout-400vu-25f-00017,retry,25,400,41,2959,0.9863333333333333,2076.221955,28502.9169399,1.5,1.5,3.0,15.0,0.5354096395485763,0.19940593051663244,0.013666666666666716
retry-checkout-400vu-50f-00017,retry,50,400,352,2648,0.8826666666666667,2190.9764285,29600.814898200002,1.5,1.5,3.0,15.0,0.4887016404314536,0.27105862136134773,0.11733333333333329
retry-checkout-400vu-75f-00017,retry,75,400,1259,1741,0.5803333333333334,2385.153903,30815.391239549994,1.5,1.5,3.0,15.0,0.5225730718031003,0.37354811596481285,0.41966666666666663
retry-checkout-400vu-25f-00018,retry,25,400,45,2955,0.985,2000.803333,29707.393447349998,2.0,1.5,3.0,15.0,0.424145765254609,0.3324366282281166,0.015000000000000013
retry-checkout-400vu-50f-00018,retry,50,400,390,2610,0.87,2389.604394,31796.496179699996,2.0,1.5,3.0,15.0,0.6800596688247622,0.6191644591537097,0.13
retry-checkout-400vu-75f-00018,retry,75,400,1303,1697,0.5656666666666667,2315.608355,29219.273940749976,2.0,1.5,3.0,15.0,0.46864555612348946,0.23211954226044781,0.43433333333333335
retry-checkout-400vu-25f-00019,retry,25,400,13,2987,0.9956666666666667,1781.504355,28090.513330149995,1.0,0.5,4.0,15.0,0.10061752681785366,0.15385722981185346,0.0043333333333333
retry-checkout-400vu-50f-00019,retry,50,400,176,2824,0.9413333333333334,2002.7765789999999,30612.236991099988,1.0,0.5,4.0,15.0,0.3073900509300373,0.431410644205996,0.058666666666666645
retry-checkout-400vu-75f-00019,retry,75,400,966,2034,0.678,2195.6487749999997,31001.876647699995,1.0,0.5,4.0,15.0,0.37562562433188806,0.3900721930556129,0.32199999999999995
retry-checkout-400vu-25f-00020,retry,25,400,10,2990,0.9966666666666667,1900.212187,30494.545887199998,1.5,0.5,4.0,15.0,0.2757452730839868,0.41937517591323165,0.0033333333333332993
retry-checkout-400vu-50f-00020,retry,50,400,194,2806,0.9353333333333333,2195.503553,33111.571621999974,1.5,0.5,4.0,15.0,0.4930630686746031,0.8276580335440946,0.06466666666666665
retry-checkout-400vu-75f-00020,retry,75,400,942,2058,0.686,2284.126383,32322.76628234998,1.5,0.5,4.0,15.0,0.4442335759539598,0.507113426296976,0.31399999999999995
retry-checkout-400vu-25f-00021,retry,25,400,9,2991,0.997,2006.5872,33348.23755559999,2.0,0.5,4.0,15.0,0.4326786107741282,0.7345565774205246,0.0030000000000000027
retry-checkout-400vu-50f-00021,retry,50,400,180,2820,0.94,2168.4086589999997,32190.367003999996,2.0,0.5,4.0,15.0,0.46695986874344464,0.6816091930183865,0.06000000000000005
retry-checkout-400vu-75f-00021,retry,75,400,918,2082,0.694,2488.746032,34182.58277625,2.0,0.5,4.0,15.0,0.6029012354539465,0.6719078272359812,0.30600000000000005
retry-checkout-400vu-25f-00022,retry,25,400,14,2986,0.9953333333333333,2182.510416,33505.576094699994,1.0,1.0,4.0,15.0,0.6922152884717728,0.7519341314897957,0.004666666666666708
retry-checkout-400vu-50f-00022,retry,50,400,190,2810,0.9366666666666666,2307.772105,33093.2035374,1.0,1.0,4.0,15.0,0.6012225048708706,0.8247459362683244,0.06333333333333335
retry-checkout-400vu-75f-00022,retry,75,400,940,2060,0.6866666666666666,2499.1681275,31997.665035049995,1.0,1.0,4.0,15.0,0.6109828127030129,0.4783068932497404,0.31333333333333335
retry-checkout-400vu-25f-00023,retry,25,400,8,2992,0.9973333333333333,1917.6352080000001,28553.267264,1.5,1.0,4.0,15.0,0.301449174414419,0.20496696778352194,0.002666666666666706
retry-checkout-400vu-50f-00023,retry,50,400,190,2810,0.9366666666666666,2408.3606755,32597.524756349998,1.5,1.0,4.0,15.0,0.6981294559204263,0.74616045175054,0.06333333333333335
retry-checkout-400vu-75f-00023,retry,75,400,885,2115,0.705,2473.56923,30900.77243975,1.5,1.0,4.0,15.0,0.5911327290382469,0.38111356330037643,0.29500000000000004
retry-checkout-400vu-25f-00024,retry,25,400,10,2990,0.9966666666666667,1899.434258,31695.752187899998,2.0,1.0,4.0,15.0,0.2745976070013893,0.552044689423179,0.0033333333333332993
retry-checkout-400vu-50f-00024,retry,50,400,194,2806,0.9353333333333333,2371.9106414999997,33499.4466068,2.0,1.0,4.0,15.0,0.6630135213462027,0.8891521801127035,0.06466666666666665
retry-checkout-400vu-75f-00024,retry,75,400,961,2039,0.6796666666666666,2510.189959,31906.3800634,2.0,1.0,4.0,15.0,0.6195294416120879,0.4702183252285753,0.32033333333333336
retry-checkout-400vu-25f-00025,retry,25,400,13,2987,0.9956666666666667,2015.334164,29050.6721044,1.0,1.5,4.0,15.0,0.44558286541497644,0.2599037910044004,0.0043333333333333
retry-checkout-400vu-50f-00025,retry,50,400,197,2803,0.9343333333333333,2609.609572,34198.620412,1.0,1.5,4.0,15.0,0.8920124872127597,1.0,0.06566666666666665
retry-checkout-400vu-75f-00025,retry,75,400,979,2021,0.6736666666666666,2505.94116,28378.96453795,1.0,1.5,4.0,15.0,0.6162348069261694,0.15766150562509798,0.32633333333333336
retry-checkout-400vu-25f-00026,retry,25,400,14,2986,0.9953333333333333,2005.119808,30510.988876999996,1.5,1.5,4.0,15.0,0.43051379106914905,0.42119125318167716,0.004666666666666708
retry-checkout-400vu-50f-00026,retry,50,400,186,2814,0.938,2504.6914665000004,31400.164498199978,1.5,1.5,4.0,15.0,0.7909344654915884,0.5563295781558777,0.062000000000000055
retry-checkout-400vu-75f-00026,retry,75,400,933,2067,0.689,2806.262019,35500.16122725,1.5,1.5,4.0,15.0,0.8491117961568343,0.7886556635063056,0.31100000000000005
retry-checkout-400vu-25f-00027,retry,25,400,9,2991,0.997,1789.908777,26697.4708069,2.0,1.5,4.0,15.0,0.11301643478147917,0.0,0.0030000000000000027
retry-checkout-400vu-50f-00027,retry,50,400,179,2821,0.9403333333333334,2488.698563,32972.34883415,2.0,1.5,4.0,15.0,0.7755269146246158,0.8055854925006171,0.059666666666666646
retry-checkout-400vu-75f-00027,retry,75,400,927,2073,0.691,2684.010456,29422.75284775,2.0,1.5,4.0,15.0,0.7543145982033518,0.2501493772967398,0.30900000000000005
retry-checkout-400vu-25f-00028,retry,25,400,5,2995,0.9983333333333333,1911.065436,35385.267356699995,1.0,0.5,5.0,15.0,0.29175689594839194,0.9595402064272271,0.0016666666666667052
retry-checkout-400vu-50f-00028,retry,50,400,97,2903,0.9676666666666667,2013.129951,32019.983024199988,1.0,0.5,5.0,15.0,0.3173644815101184,0.6545963207338629,0.032333333333333325
retry-checkout-400vu-75f-00028,retry,75,400,730,2270,0.7566666666666667,2303.632611,33496.14778635,1.0,0.5,5.0,15.0,0.4593592374315295,0.6110842764635446,0.2433333333333333
retry-checkout-400vu-25f-00029,retry,25,400,8,2992,0.9973333333333333,1839.033837,29388.415490849995,1.5,0.5,5.0,15.0,0.18548984195303408,0.29720650140927507,0.002666666666666706
retry-checkout-400vu-50f-00029,retry,50,400,94,2906,0.9686666666666667,2207.5737555,33413.81032139998,1.5,0.5,5.0,15.0,0.5046914924310152,0.875575304850446,0.031333333333333324
retry-checkout-400vu-75f-00029,retry,75,400,686,2314,0.7713333333333333,2296.771503,30820.334193649982,1.5,0.5,5.0,15.0,0.45403894706226666,0.37398610065978044,0.22866666666666668
retry-checkout-400vu-25f-00030,retry,25,400,0,3000,1.0,2206.1179599999996,33932.53720084998,2.0,0.5,5.0,15.0,0.7270431166440411,0.7990906625599196,0.0
retry-checkout-400vu-50f-00030,retry,50,400,100,2900,0.9666666666666667,2093.6686099999997,30705.480834899998,2.0,0.5,5.0,15.0,0.3949553633221812,0.44619363053396077,0.033333333333333326
retry-checkout-400vu-75f-00030,retry,75,400,713,2287,0.7623333333333333,2516.566487,32500.4267289,2.0,0.5,5.0,15.0,0.6244739754261214,0.5228555422292701,0.2376666666666667
retry-checkout-400vu-25f-00031,retry,25,400,3,2997,0.999,2005.629464,28600.474477699998,1.0,1.0,5.0,15.0,0.4312656783300591,0.21018085824687477,0.0010000000000000009
retry-checkout-400vu-50f-00031,retry,50,400,98,2902,0.9673333333333334,2096.6119995,30500.63047965,1.0,1.0,5.0,15.0,0.39779102249079706,0.4137164194117493,0.03266666666666662
retry-checkout-400vu-75f-00031,retry,75,400,690,2310,0.77,2799.5983619999997,33912.69707545,1.0,1.0,5.0,15.0,0.8439446146810186,0.6479938268326004,0.22999999999999998
retry-checkout-400vu-25f-00032,retry,25,400,1,2999,0.9996666666666667,1895.925142,29213.079498749998,1.5,1.0,5.0,15.0,0.26942066487286637,0.27784118442822453,0.0003333333333332966
retry-checkout-400vu-50f-00032,retry,50,400,103,2897,0.9656666666666667,2413.45518,33730.4291694,1.5,1.0,5.0,15.0,0.7030374976169054,0.9257724214686667,0.03433333333333333
retry-checkout-400vu-75f-00032,retry,75,400,699,2301,0.767,2698.01545,30805.59500075,1.5,1.0,5.0,15.0,0.7651744527195294,0.3726800919905146,0.23299999999999998
retry-checkout-400vu-25f-00033,retry,25,400,2,2998,0.9993333333333333,1993.2515604999999,30410.426625349995,2.0,1.0,5.0,15.0,0.41300475731976954,0.41008446411797034,0.0006666666666667043
retry-checkout-400vu-50f-00033,retry,50,400,95,2905,0.9683333333333334,2589.835708,33900.10585015,2.0,1.0,5.0,15.0,0.8729623619233408,0.9526731577476388,0.03166666666666662
retry-checkout-400vu-75f-00033,retry,75,400,697,2303,0.7676666666666667,2721.360823,33396.95977699997,2.0,1.0,5.0,15.0,0.7832770919927704,0.6022954370082637,0.23233333333333328
retry-checkout-400vu-25f-00034,retry,25,400,0,3000,1.0,2191.2926660000003,34009.094206199974,1.0,1.5,5.0,15.0,0.7051715999782098,0.8075461465593315,0.0
retry-checkout-400vu-50f-00034,retry,50,400,97,2903,0.9676666666666667,2489.564356,31490.0096204,1.0,1.5,5.0,15.0,0.7763610189314271,0.5705737272491512,0.032333333333333325
retry-checkout-400vu-75f-00034,retry,75,400,740,2260,0.7533333333333333,2988.6484805,34509.75333789997,1.0,1.5,5.0,15.0,0.9905392353696219,0.7008977178455243,0.2466666666666667
retry-checkout-400vu-25f-00035,retry,25,400,4,2996,0.9986666666666667,2092.3889845000003,29486.18815885,1.5,1.5,5.0,15.0,0.5592605969155102,0.30800518960344386,0.0013333333333332975
retry-checkout-400vu-50f-00035,retry,50,400,97,2903,0.9676666666666667,2721.699669,33802.7818323,1.5,1.5,5.0,15.0,1.0,0.9372432959291477,0.032333333333333325
retry-checkout-400vu-75f-00035,retry,75,400,679,2321,0.7736666666666666,2902.751748,31681.753659550002,1.5,1.5,5.0,15.0,0.9239325650372365,0.4503146552810534,0.2263333333333334
retry-checkout-400vu-25f-00036,retry,25,400,138,2862,0.954,2391.1378699999996,35751.5953674,2.0,1.5,5.0,15.0,1.0,1.0,0.04600000000000004
retry-checkout-400vu-50f-00036,retry,50,400,114,2886,0.962,2598.92262,33331.18209079999,2.0,1.5,5.0,15.0,0.8817166859185863,0.8624753300587229,0.038000000000000034
retry-checkout-400vu-75f-00036,retry,75,400,787,2213,0.7376666666666667,3000.849192,37885.325290249995,2.0,1.5,5.0,15.0,1.0,1.0,0.2623333333333333
retry-checkout-500vu-50f-00001,retry,50,500,737,2263,0.7543333333333333,2204.904258,33682.23473615,1.0,0.5,2.0,15.0,0.016412723360850593,0.0,0.2456666666666667
retry-checkout-500vu-50f-00002,retry,50,500,761,2239,0.7463333333333333,2286.480198,37601.67031115,1.5,0.5,2.0,15.0,0.09808539712904317,0.2818758772089396,0.2536666666666667
retry-checkout-500vu-50f-00003,retry,50,500,803,2197,0.7323333333333333,2218.498734,38691.24662369998,2.0,0.5,2.0,15.0,0.03002331986022898,0.36023544531744384,0.2676666666666667
retry-checkout-500vu-50f-00004,retry,50,500,760,2240,0.7466666666666667,2596.5540725,39206.0712619,1.0,1.0,2.0,15.0,0.4085269611009438,0.3972603290601506,0.2533333333333333
retry-checkout-500vu-50f-00005,retry,50,500,733,2267,0.7556666666666667,2694.705293,41408.5062561,1.5,1.0,2.0,15.0,0.5067945705437085,0.5556538742801894,0.2443333333333333
retry-checkout-500vu-50f-00006,retry,50,500,721,2279,0.7596666666666667,2492.090083,39915.29156189998,2.0,1.0,2.0,15.0,0.30393909689787874,0.4482656563251314,0.2403333333333333
retry-checkout-500vu-50f-00007,retry,50,500,979,2021,0.6736666666666666,2302.398141,37611.166164149974,1.0,1.5,2.0,15.0,0.11402221582460066,0.2825587949002743,0.32633333333333336
retry-checkout-500vu-50f-00008,retry,50,500,760,2240,0.7466666666666667,2401.3723695,36500.32037274999,1.5,1.5,2.0,15.0,0.21311380920052758,0.20266957975614525,0.2533333333333333
retry-checkout-500vu-50f-00009,retry,50,500,749,2251,0.7503333333333333,2276.40883,34718.86963554998,2.0,1.5,2.0,15.0,0.0880020863751194,0.07455215579446524,0.2496666666666667
retry-checkout-500vu-50f-00010,retry,50,500,367,2633,0.8776666666666667,2188.510974,37306.4798083,1.0,0.5,3.0,15.0,0.0,0.2606465240680622,0.1223333333333333
retry-checkout-500vu-50f-00011,retry,50,500,370,2630,0.8766666666666667,2497.299308,40801.76148844999,1.5,0.5,3.0,15.0,0.3091544990619251,0.5120183276943063,0.1233333333333333
retry-checkout-500vu-50f-00012,retry,50,500,392,2608,0.8693333333333333,2304.7923410000003,37204.55594895,2.0,0.5,3.0,15.0,0.11641925489685433,0.2533164183135363,0.1306666666666667
retry-checkout-500vu-50f-00013,retry,50,500,916,2084,0.6946666666666667,2395.2207575,37798.72621354999,1.0,1.0,3.0,15.0,0.20695490254221055,0.2960476384958172,0.30533333333333335
retry-checkout-500vu-50f-00014,retry,50,500,369,2631,0.877,2681.056255,42310.12768634998,1.5,1.0,3.0,15.0,0.493129347344029,0.6204962034112382,0.123
retry-checkout-500vu-50f-00015,retry,50,500,356,2644,0.8813333333333333,2802.8169735,42591.73421454999,2.0,1.0,3.0,15.0,0.6150344512243058,0.6407486315083992,0.1186666666666667
retry-checkout-500vu-50f-00016,retry,50,500,325,2675,0.8916666666666667,2601.431886,37694.83440279999,1.0,1.5,3.0,15.0,0.41341055877309524,0.2885760026621344,0.10833333333333328
retry-checkout-500vu-50f-00017,retry,50,500,371,2629,0.8763333333333333,2887.802001,42595.15723445,1.5,1.5,3.0,15.0,0.7001202550310207,0.6409948064278629,0.1236666666666667
retry-checkout-500vu-50f-00018,retry,50,500,398,2602,0.8673333333333333,2697.6425065000003,37393.43020379999,2.0,1.5,3.0,15.0,0.5097352670281506,0.2668997762356842,0.1326666666666667
retry-checkout-500vu-50f-00019,retry,50,500,187,2813,0.9376666666666666,2591.751351,40983.9405207,1.0,0.5,4.0,15.0,0.4037185444738231,0.5251201821684793,0.06233333333333335
retry-checkout-500vu-50f-00020,retry,50,500,194,2806,0.9353333333333333,2622.3421909999997,40489.584157599995,1.5,0.5,4.0,15.0,0.43434565947384585,0.4895673249174362,0.06466666666666665
retry-checkout-500vu-50f-00021,retry,50,500,190,2810,0.9366666666666666,2698.7990755,40698.10891339999,2.0,0.5,4.0,15.0,0.5108932075021112,0.5045638970860971,0.06333333333333335
retry-checkout-500vu-50f-00022,retry,50,500,180,2820,0.94,2479.3834435,37604.96632465,1.0,1.0,4.0,15.0,0.291217389706107,0.2821129181498674,0.06000000000000005
retry-checkout-500vu-50f-00023,retry,50,500,289,2711,0.9036666666666666,2888.647506,47587.06268315,1.5,1.0,4.0,15.0,0.7009667626414063,1.0,0.09633333333333338
retry-checkout-500vu-50f-00024,retry,50,500,193,2807,0.9356666666666666,2903.330443,41703.568316499994,2.0,1.0,4.0,15.0,0.7156671108514291,0.576873990165453,0.06433333333333335
retry-checkout-500vu-50f-00025,retry,50,500,187,2813,0.9376666666666666,2788.145125,38423.85940655,1.0,1.5,4.0,15.0,0.6003452046631647,0.34100563404835355,0.06233333333333335
retry-checkout-500vu-50f-00026,retry,50,500,219,2781,0.927,2809.314132,37573.434368149996,1.5,1.5,4.0,15.0,0.6215393141359771,0.2798452197202147,0.07299999999999995
retry-checkout-500vu-50f-00027,retry,50,500,195,2805,0.935,2998.104535,43791.2875879,2.0,1.5,4.0,15.0,0.8105535871530526,0.7270174712180493,0.06499999999999995
retry-checkout-500vu-50f-00028,retry,50,500,88,2912,0.9706666666666667,2696.5991445,42407.94802405,1.0,0.5,5.0,15.0,0.5086906677964634,0.6275311942843991,0.029333333333333322
retry-checkout-500vu-50f-00029,retry,50,500,103,2897,0.9656666666666667,2685.915208,40314.19458034998,1.5,0.5,5.0,15.0,0.4979940621511642,0.4769537508467222,0.03433333333333333
retry-checkout-500vu-50f-00030,retry,50,500,115,2885,0.9616666666666667,2801.731092,43792.97398534999,2.0,0.5,5.0,15.0,0.6139472820724649,0.7271387526503994,0.03833333333333333
retry-checkout-500vu-50f-00031,retry,50,500,95,2905,0.9683333333333334,2594.972892,40111.342824349995,1.0,1.0,5.0,15.0,0.40694390561736427,0.4623651664519223,0.03166666666666662
retry-checkout-500vu-50f-00032,retry,50,500,100,2900,0.9666666666666667,2802.6098300000003,39816.53266639998,1.5,1.0,5.0,15.0,0.6148270620909573,0.44116316675270123,0.033333333333333326
retry-checkout-500vu-50f-00033,retry,50,500,106,2894,0.9646666666666667,2801.130891,37561.197677699995,2.0,1.0,5.0,15.0,0.6133463693466249,0.27896518794300446,0.03533333333333333
retry-checkout-500vu-50f-00034,retry,50,500,103,2897,0.9656666666666667,3187.326566,42815.05071695,1.0,1.5,5.0,15.0,1.0,0.6568089886196993,0.03433333333333333
retry-checkout-500vu-50f-00035,retry,50,500,95,2905,0.9683333333333334,2980.002005,39305.3595734,1.5,1.5,5.0,15.0,0.792429590946954,0.40440089289009873,0.03166666666666662
retry-checkout-500vu-50f-00036,retry,50,500,110,2890,0.9633333333333334,2919.2934655,38916.013803599984,2.0,1.5,5.0,15.0,0.7316490625028207,0.37640013147945395,0.036666666666666625
retry-checkout-500vu-25f-00001,retry,25,500,185,2815,0.9383333333333334,2115.476874,35326.21360644999,1.0,0.5,2.0,15.0,0.0,0.15025532171997433,0.06166666666666665
retry-checkout-500vu-75f-00001,retry,75,500,1711,1289,0.42966666666666664,2280.004343,38984.211363149996,1.0,0.5,2.0,15.0,0.04950064512444566,0.43225097127353695,0.5703333333333334
retry-checkout-500vu-25f-00002,retry,25,500,192,2808,0.936,2273.3847285,38696.25610809999,1.5,0.5,2.0,15.0,0.23510263754946312,0.5050295611918946,0.06399999999999995
